525,4425
4725,7725
8025,10325
10625,14125
14424,20525
20825,30425
30724,32125
32425,37425
37725,39125
39425,41525
41825,44225
44525,46625
46925,48724
49025,57325
57625,59925
60225,62125
62425,66625
66925,68525
68825,71725
72025,81225
81525,91125
91425,93025
93325,95325
95625,97725
98025,100525
100825,102425
102725,105025
105325,107225
107525,109925
110225,112525
112825,115225
115525,119725
120025,125725
126024,128625
128925,131625
131925,134325
134625,136825
137125,140225
140525,142425
142725,152525
152825,154725
155025,157725
158025,161025
161325,164525
164825,171125
171424,181825
182125,187825
188125,190524
190825,192425
192725,194325
194625,196025
196325,198725
199025,200425
200725,202425
202725,204125
204425,211725
212025,214125
214425,218125
218425,221525
221825,230524
230825,248325
248625,251025
251325,253325
253625,257325
257625,268925
269225,271325
271625,273325
273625,276925
277225,281125
281425,285025
285325,289725
290025,298325
298625,300925
301225,303025
303325,305025
305325,307225
307525,308925
309225,311925
312225,314325
314625,320525
320825,329125
329425,331225
331525,332924
333225,334625
334925,336325
336625,338025
338325,340325
340625,342525
342825,344425
344724,346725
347025,348925
349225,350625
350925,359425
359724,361225
361525,362924
363225,368025
368325,371725
372025,374325
374625,376625
376925,386825
387125,388725
389025,390424
390725,393525
393825,399425
399724,406825
407125,424425
424724,427425
427725,429125
429425,435925
436225,444925
445225,447425
447725,449225
449525,451525
451825,453825
454125,457125
457425,461725
462025,469925
470225,471625
471925,473825
474125,475525
475825,477525
477825,479525
479825,483325
483625,485725
486025,497125
497425,499225
499525,505325
505625,513525
513825,520725
521025,525325
525625,528625
528925,531225
531525,534825
535125,547525
547825,549925
550225,553825
554125,555925
556225,558625
558925,564125
564425,572525
572825,576125
576425,579425
579725,581125
581425,583025
583325,585225
585525,589425
589725,600125
600425,602825
603125,606125
606425,608725
609025,610725
611025,624125
624425,625825
