525,2225
2925,6825
8225,9925
10425,12125
12425,15225
16025,18725
19025,20825
21925,30125
30425,32725
33025,34725
38225,40225
40525,41925
42225,45025
45325,46825
47125,49025
49325,57025
57325,58724
59025,60525
68825,71025
71625,73525
73825,75525
76325,82825
83125,85225
89324,91525
91925,94025
94425,96325
96625,98225
98524,100725
101024,104324
104625,107225
107525,114324
114625,116525
116824,118225
118524,120325
122625,124125
130625,139325
139625,141025
143725,145625
150125,152825
155725,158025
158425,165725
171125,176125
176424,182325
182625,190825
191125,192525
206925,213924
214225,216424
216725,218125
233225,240825
241125,242525
250425,252225
257025,259025
260225,267325
276125,277625
281425,283325
287125,294225
301225,303025
304925,307025
307325,316525
316825,318225
319925,327025
327325,329125
329425,330925
331225,332625
332924,335424
335725,337825
338125,339525
340125,343125
343425,347725
349025,356525
356825,358225
358525,359925
362125,365925
366225,368225
369724,372325
372625,375225
377325,385025
386425,387924
399925,402525
402825,406025
408025,415625
415925,417325
417924,420025
420325,421725
422025,424025
431725,434625
435025,437224
439125,447025
454625,456525
456825,458525
458825,460525
466625,468125
471725,480125
482825,484225
490424,492325
492625,494025
494825,496825
497125,498525
499525,501425
501725,504325
504625,508425
511625,518925
519225,520925
521225,522924
523225,524625
524925,526325
526625,528425
529525,532225
533125,535225
535925,537925
543325,545025
545325,547425
550025,558725
559025,560725
567425,571125
573425,575125
582425,584625
588425,596425
596725,598125
598425,600125
600425,601825
602125,603525
604025,605725
606025,607425
607925,609825
610725,612625
621225,630925
634325,635725
637825,640125
660325,668225
668525,669925
676125,679625
679925,682325
682625,684825
687025,688625
693625,700925
701324,702724
